"address_line1","city","postcode","profile_link","restaurant_name","social_media_link","state"
"2822 N Henderson Avenue","Dallas","75206","https://www.opentable.com/r/the-charlotte-dallas","The Charlotte","https://instagram.com/thecharlottedallas","TX"
"8416 Preston Center Plaza","Dallas","75225","https://www.opentable.com/r/il-bracco-park-cities-dallas","il Bracco - Park Cities","http://instagram.com/ilbraccoparkcities","TX"
"4217 Oak Lawn","Dallas","75219","https://www.opentable.com/r/al-biernats-oak-lawn-dallas-2","Al Biernat's - Oak Lawn","https://www.instagram.com/albiernats_oaklawn, https://www.facebook.com/albiernatsoaklawn/","TX"
"600 N. Akard St","Dallas","75201","https://www.opentable.com/r/dakotas-steakhouse-downtown-dallas","Dakota’s Steakhouse- Downtown Dallas","https://www.facebook.com/DakotasSteakhouse/, https://www.instagram.com/dakotassteakhouse/","TX"
"5959 Royal Ln 515","Dallas","75230","https://www.opentable.com/r/bobbies-airway-grill-dallas","Bobbie's Airway Grill","http://instagram.com/bobbiesairwaygrill, https://www.facebook.com/BobbiesAirwayGrill","TX"
"2100 Olive Street","Dallas","75201","https://www.opentable.com/r/perrys-steakhouse-and-grille-park-district-dallas","Perry's Steakhouse & Grille - Park District","https://www.instagram.com/perrys_steakhouse/, https://twitter.com/perrysdining, https://www.facebook.com/PerrysDiningDallas, https://www.youtube.com/@PerrysDining","TX"
"11700 Preston Rd ste 800","Dallas","75230","https://www.opentable.com/r/hudson-house-preston-forest-dallas","Hudson House - Preston Forest","https://www.instagram.com/thehudsonhouse/, https://www.facebook.com/HudsonHouseHP","TX"
"1401 Turtle Creek Blvd","Dallas","75207-3303","https://www.opentable.com/r/the-mexican-dallas","The Mexican","","TX"
"1201 Turtle Creek Blvd","Dallas","75207-6613","https://www.opentable.com/r/evelyn-dallas","EVELYN","https://www.instagram.com/theevelyndallas/","TX"
"2817 Maple Ave","Dallas","75201","https://www.opentable.com/uchi-dallas","Uchi Dallas","https://www.facebook.com/UchiDallas/, https://www.instagram.com/uchirestaurants/, https://www.linkedin.com/company/uchi-dallas","TX"
